Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Alexandre,2024-01-14 21:57:47,00:00:16,Autoplayed: user action: None; ,Caçadores de Trolls (Trailer),TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:16,00:00:16,BR (Brazil)
Alexandre,2024-01-14 21:57:11,00:00:06,Autoplayed: user action: None; ,Pequenos Espiões: Apocalipse (Clipe): Pequenos Espiões: Apocalipse,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:06,00:00:06,BR (Brazil)
Alexandre,2024-01-14 21:56:57,00:00:08,Autoplayed: user action: None; ,The Healing Power of Dude: Season 1 PVS Clip 5,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:08,00:00:08,BR (Brazil)
Alexandre,2024-01-14 21:26:20,00:29:16,Autoplayed: user action: User_Interaction; ,"Meu Irmão, Minha Irmã",,TCL TV 2018 UHD Android TV Smart TV,01:53:09,01:53:09,BR (Brazil)
Alexandre,2024-01-14 20:33:39,00:49:08,Autoplayed: user action: User_Interaction; ,"Meu Irmão, Minha Irmã",,TCL TV 2018 UHD Android TV Smart TV,01:19:31,Not latest view,BR (Brazil)
Alexandre,2024-01-14 18:51:26,01:41:38,,"Meu Irmão, Minha Irmã",,TCL TV 2018 UHD Android TV Smart TV,01:42:53,Not latest view,BR (Brazil)
Alexandre,2024-01-14 18:50:27,00:00:20,,Teaser: 60 Minutos,TEASER_TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:20,00:00:20,BR (Brazil)
Alexandre,2024-01-14 18:49:47,00:00:03,,"Meu Irmão, Minha Irmã",,TCL TV 2018 UHD Android TV Smart TV,00:00:03,Not latest view,BR (Brazil)
Alexandre,2024-01-14 18:49:37,00:00:05,Autoplayed: user action: None; ,"Trailer: Meu Irmão, Minha Irmã",TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:35,00:00:35,BR (Brazil)
Alexandre,2024-01-14 18:49:20,00:00:05,Autoplayed: user action: None; ,Temporada 1 (Clipe 3): Irmãos Sun,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:05,00:00:05,BR (Brazil)
